year,week,matchup_id,home_team_id,home_team_name,home_team_abbrev,home_score,away_team_id,away_team_name,away_team_abbrev,away_score,winner,playoff_type,is_playoff,margin,winning_team_id,winning_team_name,winning_score,losing_team_id,losing_team_name,losing_score
2019,1,0,16,Call 4 Marlons Diggs Pics,8=D~,104.7,10,Fk it chuck it Game time shit,LYDE,110.16,AWAY,NONE,False,5.46,10,Fk it chuck it Game time shit,110.16,16,Call 4 Marlons Diggs Pics,104.7
2019,1,1,14,Max Top Vic Bottom,GOLA,109.36,12,Team Jimbalaya,JIM,94.7,HOME,NONE,False,14.66,14,Max Top Vic Bottom,109.36,12,Team Jimbalaya,94.7
2019,1,2,1,Clowntown Jabronis,JOOS,119.14,5,Team Hodder,A$$,129.1,AWAY,NONE,False,9.96,5,Team Hodder,129.1,1,Clowntown Jabronis,119.14
2019,1,3,13,Team Miceli,cjm,70.8,9,Kappa Sig's Basement Floor,SCUM,118.52,AWAY,NONE,False,47.72,9,Kappa Sig's Basement Floor,118.52,13,Team Miceli,70.8
2019,1,4,17,Team Johnson,JOHN,111.82,15,Daniel Jones,fack,90.12,HOME,NONE,False,21.7,17,Team Johnson,111.82,15,Daniel Jones,90.12
2019,1,5,11,One-sided Pestering,MRVP,145.9,7,Team Curtis,CURT,112.02,HOME,NONE,False,33.88,11,One-sided Pestering,145.9,7,Team Curtis,112.02
2019,2,6,10,Fk it chuck it Game time shit,LYDE,91.32,12,Team Jimbalaya,JIM,109.7,AWAY,NONE,False,18.38,12,Team Jimbalaya,109.7,10,Fk it chuck it Game time shit,91.32
2019,2,7,5,Team Hodder,A$$,97.16,16,Call 4 Marlons Diggs Pics,8=D~,94.08,HOME,NONE,False,3.08,5,Team Hodder,97.16,16,Call 4 Marlons Diggs Pics,94.08
2019,2,8,1,Clowntown Jabronis,JOOS,113.96,14,Max Top Vic Bottom,GOLA,88.52,HOME,NONE,False,25.44,1,Clowntown Jabronis,113.96,14,Max Top Vic Bottom,88.52
2019,2,9,9,Kappa Sig's Basement Floor,SCUM,118.64,15,Daniel Jones,fack,139.42,AWAY,NONE,False,20.78,15,Daniel Jones,139.42,9,Kappa Sig's Basement Floor,118.64
2019,2,10,7,Team Curtis,CURT,82.06,13,Team Miceli,cjm,113.3,AWAY,NONE,False,31.24,13,Team Miceli,113.3,7,Team Curtis,82.06
2019,2,11,11,One-sided Pestering,MRVP,98.6,17,Team Johnson,JOHN,95.62,HOME,NONE,False,2.98,11,One-sided Pestering,98.6,17,Team Johnson,95.62
2019,3,12,5,Team Hodder,A$$,148.4,10,Fk it chuck it Game time shit,LYDE,99.8,HOME,NONE,False,48.6,5,Team Hodder,148.4,10,Fk it chuck it Game time shit,99.8
2019,3,13,12,Team Jimbalaya,JIM,91.56,1,Clowntown Jabronis,JOOS,99.84,AWAY,NONE,False,8.28,1,Clowntown Jabronis,99.84,12,Team Jimbalaya,91.56
2019,3,14,16,Call 4 Marlons Diggs Pics,8=D~,91.08,14,Max Top Vic Bottom,GOLA,96.42,AWAY,NONE,False,5.34,14,Max Top Vic Bottom,96.42,16,Call 4 Marlons Diggs Pics,91.08
2019,3,15,7,Team Curtis,CURT,114.34,9,Kappa Sig's Basement Floor,SCUM,134.96,AWAY,NONE,False,20.62,9,Kappa Sig's Basement Floor,134.96,7,Team Curtis,114.34
2019,3,16,15,Daniel Jones,fack,108.72,11,One-sided Pestering,MRVP,185.24,AWAY,NONE,False,76.52,11,One-sided Pestering,185.24,15,Daniel Jones,108.72
2019,3,17,13,Team Miceli,cjm,79.0,17,Team Johnson,JOHN,138.16,AWAY,NONE,False,59.16,17,Team Johnson,138.16,13,Team Miceli,79.0
2019,4,18,10,Fk it chuck it Game time shit,LYDE,95.5,1,Clowntown Jabronis,JOOS,100.2,AWAY,NONE,False,4.7,1,Clowntown Jabronis,100.2,10,Fk it chuck it Game time shit,95.5
2019,4,19,14,Max Top Vic Bottom,GOLA,112.28,5,Team Hodder,A$$,104.98,HOME,NONE,False,7.3,14,Max Top Vic Bottom,112.28,5,Team Hodder,104.98
2019,4,20,16,Call 4 Marlons Diggs Pics,8=D~,81.78,12,Team Jimbalaya,JIM,100.88,AWAY,NONE,False,19.1,12,Team Jimbalaya,100.88,16,Call 4 Marlons Diggs Pics,81.78
2019,4,21,9,Kappa Sig's Basement Floor,SCUM,99.0,11,One-sided Pestering,MRVP,106.1,AWAY,NONE,False,7.1,11,One-sided Pestering,106.1,9,Kappa Sig's Basement Floor,99.0
2019,4,22,17,Team Johnson,JOHN,102.5,7,Team Curtis,CURT,112.8,AWAY,NONE,False,10.3,7,Team Curtis,112.8,17,Team Johnson,102.5
2019,4,23,13,Team Miceli,cjm,55.78,15,Daniel Jones,fack,131.8,AWAY,NONE,False,76.02,15,Daniel Jones,131.8,13,Team Miceli,55.78
2019,5,24,14,Max Top Vic Bottom,GOLA,131.1,10,Fk it chuck it Game time shit,LYDE,114.06,HOME,NONE,False,17.04,14,Max Top Vic Bottom,131.1,10,Fk it chuck it Game time shit,114.06
2019,5,25,1,Clowntown Jabronis,JOOS,133.72,16,Call 4 Marlons Diggs Pics,8=D~,83.84,HOME,NONE,False,49.88,1,Clowntown Jabronis,133.72,16,Call 4 Marlons Diggs Pics,83.84
2019,5,26,5,Team Hodder,A$$,88.24,12,Team Jimbalaya,JIM,95.3,AWAY,NONE,False,7.06,12,Team Jimbalaya,95.3,5,Team Hodder,88.24
2019,5,27,17,Team Johnson,JOHN,99.14,9,Kappa Sig's Basement Floor,SCUM,152.76,AWAY,NONE,False,53.62,9,Kappa Sig's Basement Floor,152.76,17,Team Johnson,99.14
2019,5,28,11,One-sided Pestering,MRVP,92.62,13,Team Miceli,cjm,91.3,HOME,NONE,False,1.32,11,One-sided Pestering,92.62,13,Team Miceli,91.3
2019,5,29,7,Team Curtis,CURT,153.94,15,Daniel Jones,fack,121.52,HOME,NONE,False,32.42,7,Team Curtis,153.94,15,Daniel Jones,121.52
2019,6,30,10,Fk it chuck it Game time shit,LYDE,73.5,9,Kappa Sig's Basement Floor,SCUM,96.24,AWAY,NONE,False,22.74,9,Kappa Sig's Basement Floor,96.24,10,Fk it chuck it Game time shit,73.5
2019,6,31,16,Call 4 Marlons Diggs Pics,8=D~,100.84,13,Team Miceli,cjm,77.8,HOME,NONE,False,23.04,16,Call 4 Marlons Diggs Pics,100.84,13,Team Miceli,77.8
2019,6,32,12,Team Jimbalaya,JIM,104.34,15,Daniel Jones,fack,146.9,AWAY,NONE,False,42.56,15,Daniel Jones,146.9,12,Team Jimbalaya,104.34
2019,6,33,5,Team Hodder,A$$,78.92,7,Team Curtis,CURT,121.9,AWAY,NONE,False,42.98,7,Team Curtis,121.9,5,Team Hodder,78.92
2019,6,34,1,Clowntown Jabronis,JOOS,111.26,11,One-sided Pestering,MRVP,107.7,HOME,NONE,False,3.56,1,Clowntown Jabronis,111.26,11,One-sided Pestering,107.7
2019,6,35,14,Max Top Vic Bottom,GOLA,108.32,17,Team Johnson,JOHN,98.12,HOME,NONE,False,10.2,14,Max Top Vic Bottom,108.32,17,Team Johnson,98.12
2019,7,36,9,Kappa Sig's Basement Floor,SCUM,127.34,16,Call 4 Marlons Diggs Pics,8=D~,79.62,HOME,NONE,False,47.72,9,Kappa Sig's Basement Floor,127.34,16,Call 4 Marlons Diggs Pics,79.62
2019,7,37,13,Team Miceli,cjm,66.92,12,Team Jimbalaya,JIM,119.36,AWAY,NONE,False,52.44,12,Team Jimbalaya,119.36,13,Team Miceli,66.92
2019,7,38,15,Daniel Jones,fack,117.06,5,Team Hodder,A$$,134.56,AWAY,NONE,False,17.5,5,Team Hodder,134.56,15,Daniel Jones,117.06
2019,7,39,7,Team Curtis,CURT,113.62,1,Clowntown Jabronis,JOOS,53.86,HOME,NONE,False,59.76,7,Team Curtis,113.62,1,Clowntown Jabronis,53.86
2019,7,40,11,One-sided Pestering,MRVP,96.64,14,Max Top Vic Bottom,GOLA,114.18,AWAY,NONE,False,17.54,14,Max Top Vic Bottom,114.18,11,One-sided Pestering,96.64
2019,7,41,17,Team Johnson,JOHN,63.74,10,Fk it chuck it Game time shit,LYDE,101.4,AWAY,NONE,False,37.66,10,Fk it chuck it Game time shit,101.4,17,Team Johnson,63.74
2019,8,42,12,Team Jimbalaya,JIM,45.3,9,Kappa Sig's Basement Floor,SCUM,184.78,AWAY,NONE,False,139.48,9,Kappa Sig's Basement Floor,184.78,12,Team Jimbalaya,45.3
2019,8,43,5,Team Hodder,A$$,143.6,13,Team Miceli,cjm,116.58,HOME,NONE,False,27.02,5,Team Hodder,143.6,13,Team Miceli,116.58
2019,8,44,1,Clowntown Jabronis,JOOS,110.16,15,Daniel Jones,fack,128.98,AWAY,NONE,False,18.82,15,Daniel Jones,128.98,1,Clowntown Jabronis,110.16
2019,8,45,14,Max Top Vic Bottom,GOLA,113.46,7,Team Curtis,CURT,85.26,HOME,NONE,False,28.2,14,Max Top Vic Bottom,113.46,7,Team Curtis,85.26
2019,8,46,10,Fk it chuck it Game time shit,LYDE,121.94,11,One-sided Pestering,MRVP,106.68,HOME,NONE,False,15.26,10,Fk it chuck it Game time shit,121.94,11,One-sided Pestering,106.68
2019,8,47,16,Call 4 Marlons Diggs Pics,8=D~,101.44,17,Team Johnson,JOHN,113.56,AWAY,NONE,False,12.12,17,Team Johnson,113.56,16,Call 4 Marlons Diggs Pics,101.44
2019,9,48,9,Kappa Sig's Basement Floor,SCUM,80.46,5,Team Hodder,A$$,92.44,AWAY,NONE,False,11.98,5,Team Hodder,92.44,9,Kappa Sig's Basement Floor,80.46
2019,9,49,13,Team Miceli,cjm,114.0,1,Clowntown Jabronis,JOOS,128.8,AWAY,NONE,False,14.8,1,Clowntown Jabronis,128.8,13,Team Miceli,114.0
2019,9,50,15,Daniel Jones,fack,112.94,14,Max Top Vic Bottom,GOLA,101.7,HOME,NONE,False,11.24,15,Daniel Jones,112.94,14,Max Top Vic Bottom,101.7
2019,9,51,7,Team Curtis,CURT,102.44,10,Fk it chuck it Game time shit,LYDE,115.5,AWAY,NONE,False,13.06,10,Fk it chuck it Game time shit,115.5,7,Team Curtis,102.44
2019,9,52,11,One-sided Pestering,MRVP,164.82,16,Call 4 Marlons Diggs Pics,8=D~,83.58,HOME,NONE,False,81.24,11,One-sided Pestering,164.82,16,Call 4 Marlons Diggs Pics,83.58
2019,9,53,17,Team Johnson,JOHN,93.76,12,Team Jimbalaya,JIM,112.36,AWAY,NONE,False,18.6,12,Team Jimbalaya,112.36,17,Team Johnson,93.76
2019,10,54,1,Clowntown Jabronis,JOOS,89.72,9,Kappa Sig's Basement Floor,SCUM,124.68,AWAY,NONE,False,34.96,9,Kappa Sig's Basement Floor,124.68,1,Clowntown Jabronis,89.72
2019,10,55,14,Max Top Vic Bottom,GOLA,136.74,13,Team Miceli,cjm,97.5,HOME,NONE,False,39.24,14,Max Top Vic Bottom,136.74,13,Team Miceli,97.5
2019,10,56,10,Fk it chuck it Game time shit,LYDE,138.12,15,Daniel Jones,fack,125.96,HOME,NONE,False,12.16,10,Fk it chuck it Game time shit,138.12,15,Daniel Jones,125.96
2019,10,57,16,Call 4 Marlons Diggs Pics,8=D~,93.52,7,Team Curtis,CURT,106.82,AWAY,NONE,False,13.3,7,Team Curtis,106.82,16,Call 4 Marlons Diggs Pics,93.52
2019,10,58,12,Team Jimbalaya,JIM,100.58,11,One-sided Pestering,MRVP,95.18,HOME,NONE,False,5.4,12,Team Jimbalaya,100.58,11,One-sided Pestering,95.18
2019,10,59,5,Team Hodder,A$$,98.72,17,Team Johnson,JOHN,95.74,HOME,NONE,False,2.98,5,Team Hodder,98.72,17,Team Johnson,95.74
2019,11,60,9,Kappa Sig's Basement Floor,SCUM,92.22,14,Max Top Vic Bottom,GOLA,143.74,AWAY,NONE,False,51.52,14,Max Top Vic Bottom,143.74,9,Kappa Sig's Basement Floor,92.22
2019,11,61,13,Team Miceli,cjm,43.54,10,Fk it chuck it Game time shit,LYDE,78.72,AWAY,NONE,False,35.18,10,Fk it chuck it Game time shit,78.72,13,Team Miceli,43.54
2019,11,62,15,Daniel Jones,fack,73.7,16,Call 4 Marlons Diggs Pics,8=D~,128.58,AWAY,NONE,False,54.88,16,Call 4 Marlons Diggs Pics,128.58,15,Daniel Jones,73.7
2019,11,63,7,Team Curtis,CURT,58.16,12,Team Jimbalaya,JIM,106.72,AWAY,NONE,False,48.56,12,Team Jimbalaya,106.72,7,Team Curtis,58.16
2019,11,64,11,One-sided Pestering,MRVP,115.34,5,Team Hodder,A$$,108.92,HOME,NONE,False,6.42,11,One-sided Pestering,115.34,5,Team Hodder,108.92
2019,11,65,17,Team Johnson,JOHN,96.4,1,Clowntown Jabronis,JOOS,107.64,AWAY,NONE,False,11.24,1,Clowntown Jabronis,107.64,17,Team Johnson,96.4
2019,12,66,9,Kappa Sig's Basement Floor,SCUM,88.04,10,Fk it chuck it Game time shit,LYDE,94.72,AWAY,NONE,False,6.68,10,Fk it chuck it Game time shit,94.72,9,Kappa Sig's Basement Floor,88.04
2019,12,67,13,Team Miceli,cjm,94.18,16,Call 4 Marlons Diggs Pics,8=D~,67.46,HOME,NONE,False,26.72,13,Team Miceli,94.18,16,Call 4 Marlons Diggs Pics,67.46
2019,12,68,15,Daniel Jones,fack,158.38,12,Team Jimbalaya,JIM,68.94,HOME,NONE,False,89.44,15,Daniel Jones,158.38,12,Team Jimbalaya,68.94
2019,12,69,7,Team Curtis,CURT,105.22,5,Team Hodder,A$$,98.06,HOME,NONE,False,7.16,7,Team Curtis,105.22,5,Team Hodder,98.06
2019,12,70,11,One-sided Pestering,MRVP,110.8,1,Clowntown Jabronis,JOOS,129.8,AWAY,NONE,False,19.0,1,Clowntown Jabronis,129.8,11,One-sided Pestering,110.8
2019,12,71,17,Team Johnson,JOHN,100.42,14,Max Top Vic Bottom,GOLA,103.1,AWAY,NONE,False,2.68,14,Max Top Vic Bottom,103.1,17,Team Johnson,100.42
2019,13,72,16,Call 4 Marlons Diggs Pics,8=D~,67.9,9,Kappa Sig's Basement Floor,SCUM,95.94,AWAY,NONE,False,28.04,9,Kappa Sig's Basement Floor,95.94,16,Call 4 Marlons Diggs Pics,67.9
2019,13,73,12,Team Jimbalaya,JIM,83.96,13,Team Miceli,cjm,122.56,AWAY,NONE,False,38.6,13,Team Miceli,122.56,12,Team Jimbalaya,83.96
2019,13,74,5,Team Hodder,A$$,124.82,15,Daniel Jones,fack,107.82,HOME,NONE,False,17.0,5,Team Hodder,124.82,15,Daniel Jones,107.82
2019,13,75,1,Clowntown Jabronis,JOOS,67.74,7,Team Curtis,CURT,102.56,AWAY,NONE,False,34.82,7,Team Curtis,102.56,1,Clowntown Jabronis,67.74
2019,13,76,14,Max Top Vic Bottom,GOLA,123.86,11,One-sided Pestering,MRVP,79.4,HOME,NONE,False,44.46,14,Max Top Vic Bottom,123.86,11,One-sided Pestering,79.4
2019,13,77,10,Fk it chuck it Game time shit,LYDE,95.82,17,Team Johnson,JOHN,122.8,AWAY,NONE,False,26.98,17,Team Johnson,122.8,10,Fk it chuck it Game time shit,95.82
2019,14,78,14,Max Top Vic Bottom,GOLA,120.24,12,Team Jimbalaya,JIM,84.72,HOME,WINNERS_BRACKET,True,35.52,14,Max Top Vic Bottom,120.24,12,Team Jimbalaya,84.72
2019,14,79,1,Clowntown Jabronis,JOOS,88.46,11,One-sided Pestering,MRVP,102.3,AWAY,WINNERS_BRACKET,True,13.84,11,One-sided Pestering,102.3,1,Clowntown Jabronis,88.46
2019,14,80,5,Team Hodder,A$$,68.3,7,Team Curtis,CURT,88.08,AWAY,WINNERS_BRACKET,True,19.78,7,Team Curtis,88.08,5,Team Hodder,68.3
2019,14,81,9,Kappa Sig's Basement Floor,SCUM,141.9,10,Fk it chuck it Game time shit,LYDE,130.84,HOME,WINNERS_BRACKET,True,11.06,9,Kappa Sig's Basement Floor,141.9,10,Fk it chuck it Game time shit,130.84
2019,14,82,15,Daniel Jones,fack,96.94,17,Team Johnson,JOHN,110.82,AWAY,LOSERS_CONSOLATION_LADDER,True,13.88,17,Team Johnson,110.82,15,Daniel Jones,96.94
2019,14,83,13,Team Miceli,cjm,80.82,16,Call 4 Marlons Diggs Pics,8=D~,106.9,AWAY,LOSERS_CONSOLATION_LADDER,True,26.08,16,Call 4 Marlons Diggs Pics,106.9,13,Team Miceli,80.82
2019,15,84,14,Max Top Vic Bottom,GOLA,125.28,11,One-sided Pestering,MRVP,109.24,HOME,WINNERS_BRACKET,True,16.04,14,Max Top Vic Bottom,125.28,11,One-sided Pestering,109.24
2019,15,85,9,Kappa Sig's Basement Floor,SCUM,90.84,7,Team Curtis,CURT,128.02,AWAY,WINNERS_BRACKET,True,37.18,7,Team Curtis,128.02,9,Kappa Sig's Basement Floor,90.84
2019,15,86,5,Team Hodder,A$$,96.52,1,Clowntown Jabronis,JOOS,128.12,AWAY,WINNERS_CONSOLATION_LADDER,True,31.6,1,Clowntown Jabronis,128.12,5,Team Hodder,96.52
2019,15,87,10,Fk it chuck it Game time shit,LYDE,128.32,12,Team Jimbalaya,JIM,107.2,HOME,WINNERS_CONSOLATION_LADDER,True,21.12,10,Fk it chuck it Game time shit,128.32,12,Team Jimbalaya,107.2
2019,15,88,17,Team Johnson,JOHN,144.5,16,Call 4 Marlons Diggs Pics,8=D~,76.88,HOME,LOSERS_CONSOLATION_LADDER,True,67.62,17,Team Johnson,144.5,16,Call 4 Marlons Diggs Pics,76.88
2019,15,89,15,Daniel Jones,fack,138.16,13,Team Miceli,cjm,90.36,HOME,LOSERS_CONSOLATION_LADDER,True,47.8,15,Daniel Jones,138.16,13,Team Miceli,90.36
2019,16,90,14,Max Top Vic Bottom,GOLA,110.48,7,Team Curtis,CURT,93.26,HOME,WINNERS_BRACKET,True,17.22,14,Max Top Vic Bottom,110.48,7,Team Curtis,93.26
2019,16,91,9,Kappa Sig's Basement Floor,SCUM,99.46,11,One-sided Pestering,MRVP,90.86,HOME,WINNERS_CONSOLATION_LADDER,True,8.6,9,Kappa Sig's Basement Floor,99.46,11,One-sided Pestering,90.86
2019,16,92,1,Clowntown Jabronis,JOOS,133.04,10,Fk it chuck it Game time shit,LYDE,101.9,HOME,WINNERS_CONSOLATION_LADDER,True,31.14,1,Clowntown Jabronis,133.04,10,Fk it chuck it Game time shit,101.9
2019,16,93,5,Team Hodder,A$$,143.94,12,Team Jimbalaya,JIM,69.96,HOME,WINNERS_CONSOLATION_LADDER,True,73.98,5,Team Hodder,143.94,12,Team Jimbalaya,69.96
2019,16,94,15,Daniel Jones,fack,89.42,17,Team Johnson,JOHN,92.94,AWAY,LOSERS_CONSOLATION_LADDER,True,3.52,17,Team Johnson,92.94,15,Daniel Jones,89.42
2019,16,95,13,Team Miceli,cjm,120.02,16,Call 4 Marlons Diggs Pics,8=D~,132.22,AWAY,LOSERS_CONSOLATION_LADDER,True,12.2,16,Call 4 Marlons Diggs Pics,132.22,13,Team Miceli,120.02
2020,1,0,16,DeAndre WAPkins,8=D~,66.3,10,Fk it chuck it Game time shit,LYDE,78.74,AWAY,NONE,False,12.44,10,Fk it chuck it Game time shit,78.74,16,DeAndre WAPkins,66.3
2020,1,1,14,Max Top Vic Bottom,GOLA,70.4,12,Team Ron Jones Pwns,JIM,121.22,AWAY,NONE,False,50.82,12,Team Ron Jones Pwns,121.22,14,Max Top Vic Bottom,70.4
2020,1,2,1,Clowntown Jabronis,JOOS,133.9,5,Team Hodder,A$$,127.08,HOME,NONE,False,6.82,1,Clowntown Jabronis,133.9,5,Team Hodder,127.08
2020,1,3,13,Gotham City Ineffective Cop,GCC,134.6,9,Wet Ass Patrick!,WAP,125.6,HOME,NONE,False,9.0,13,Gotham City Ineffective Cop,134.6,9,Wet Ass Patrick!,125.6
