year,team_id,team_name,abbrev,wins,losses,ties,points_for,points_against,playoff_seed,final_rank,draft_position
2018,1,John Brownâs Army,JBA,10,4,0,1784.06,1583.74,1,4,0
2018,2,Julio Let the Dogs Out,BROA,6,8,0,1548.62,1684.94,7,6,0
2018,3,Boocaracha Broache,BOOC,2,12,0,1276.72,1613.22,8,8,0
2018,4,Team Broache,BROA,8,6,0,1671.28,1673.66,4,2,0
2018,5,R.G.3rd String  QB,RG3,9,5,0,1672.78,1492.66,2,1,0
2018,6,Wild Blue Yanda,YAND,8,6,0,1856.94,1678.72,3,3,0
2018,7,Team LKN Chillin',MARY,6,8,0,1774.04,1815.54,6,5,0
2018,8,Team NC Heathen,BILL,7,7,0,1559.9,1601.86,5,7,0
2019,1,Pile Of Hot Garbage,HotG,5,9,0,1574.62,1680.48,7,5,0
2019,2,Julio Let the Dogs Out,BROA,8,6,0,1486.16,1446.48,5,6,0
2019,3,Boocaracha Broache,BOOC,5,9,0,1389.18,1498.98,8,9,0
2019,4,Team Broache,BROA,3,11,0,1317.92,1537.18,9,10,0
2019,5,R.G.3rd String  QB,RG3,6,8,0,1604.0,1461.7,6,8,0
2019,6,Wild Blue Yanda,YAND,12,2,0,1630.46,1307.78,1,3,0
2019,7,Team LKN Chillin',MARY,2,12,0,1272.16,1501.76,10,7,0
2019,8,Team NC Heathen,BILL,9,5,0,1482.98,1473.02,4,2,0
2019,9,LR Ballhawks *,Ross,10,4,0,1752.54,1610.98,2,1,0
2019,10,Robinson  Robinson,ROBI,10,4,0,1402.48,1394.14,3,4,0
2020,1,West Goosington Fancy Boys,WGFB,5,9,0,1434.24,1423.84,9,11,0
2020,2,Julio Let the Dogs Out,BROA,10,4,0,1600.64,1446.78,2,3,0
2020,3,Boocaracha Broache,BOOC,8,6,0,1479.12,1424.78,4,4,0
2020,4,peepee poopoo,PPPP,6,8,0,1299.96,1468.22,8,10,0
2020,5,R.G.3rd String  QB,RG3,10,4,0,1728.3,1424.98,1,2,0
2020,6,Wild Blue Yanda,YAND,10,4,0,1545.46,1361.84,3,1,0
2020,7,Team LKN Chillin',MARY,7,7,0,1481.0,1506.4,7,5,0
2020,8,Team Big MO Fan105.7,BILL,7,7,0,1558.56,1560.82,6,6,0
2020,9,LR Ballhawks *,Ross,5,9,0,1395.62,1427.54,10,8,0
2020,10,Robinson  Robinson,ROBI,8,6,0,1400.7,1387.34,5,7,0
2020,11,Team PrincessGrandma,PG,5,9,0,1379.48,1612.5,11,9,0
2020,12,Big Blue,BLUE,3,11,0,1272.58,1530.62,12,12,0
2021,1,The Titanic,SAD,4,10,0,1442.56,1550.44,9,9,8
2021,2,Julio Let the Dogs Out,BROA,5,9,0,1504.36,1514.46,8,6,2
2021,3,Boocaracha Broache,BOOC,8,6,0,1463.98,1495.38,6,5,10
2021,4,CeeDee Cee Guidelines,CDC,7,7,0,1488.78,1437.66,7,10,7
2021,5,Baskin Dobbins,RB1,3,11,0,1420.2,1732.98,10,7,5
2021,6,Wild Blue Yanda,YAND,9,5,0,1603.4,1521.52,1,1,9
2021,7,Team LKN Chillin',MARY,8,6,0,1545.86,1526.2,5,8,6
2021,8,More Than A  Thielen,BILL,9,5,0,1497.74,1472.86,3,3,1
2021,11,Team PrincessGrandma,PG,9,5,0,1562.28,1384.46,2,2,4
2021,12,Big Blue,BLUE,8,6,0,1579.86,1473.06,4,4,3
2022,1,Marlon  Humphrey's Cat,CAT,8,6,0,1569.8,1513.84,5,6,5
2022,2,Julio Let the Dogs Out,BROA,7,7,0,1348.42,1514.66,7,5,3
2022,3,Boocaracha Broache,BOOC,9,5,0,1704.54,1491.94,3,4,4
2022,4,CeeDee Cee Guidelines,CDC,4,10,0,1416.68,1489.26,9,7,10
2022,5,Baskin Dobbins,RB1,2,12,0,1330.16,1607.28,10,9,9
2022,6,Wild Blue Yanda,YAND,7,7,0,1519.1,1500.76,6,8,2
2022,7,LKN Ngata Chance,MARY,5,9,0,1416.0,1509.16,8,10,8
2022,8,More Than A  Thielen,BILL,9,5,0,1565.42,1534.7,2,1,6
2022,11,Princess Grandma,PG,10,4,0,1580.04,1385.68,1,2,1
2022,12,Big Blue,BLUE,9,5,0,1503.62,1406.5,4,3,7
2023,1,Marlon  Humphrey's Cat,CAT,5,9,0,1500.44,1460.74,9,7,4
2023,2,Julio Let the Dogs Out,BROA,10,4,0,1725.0,1435.56,1,3,7
2023,3,Boocaracha Broache,BOOC,6,8,0,1487.54,1506.82,6,8,10
2023,4,White Ford Broncos,OJ,6,8,0,1331.8,1484.18,7,6,6
2023,5,Baskin Dobbins,RB1,8,6,0,1514.16,1524.96,4,2,3
2023,6,The Bam Belles,SPRO,4,10,0,1343.18,1507.96,10,9,8
2023,7, Ngata Chance,MARY,9,5,0,1450.34,1385.08,2,1,2
2023,8,Slim Pickens,BILL,6,8,0,1299.88,1383.4,8,10,9
2023,11,Princess Grandma,PG,9,5,0,1492.46,1472.8,3,4,1
2023,12,Big Blue,BLUE,7,7,0,1504.92,1488.22,5,5,5
2024,1,Marlon  Humphrey's Cat,CAT,8,6,0,1560.92,1445.52,4,4,8
2024,2,Julio Let the Dogs Out,BROA,9,5,0,1734.62,1563.8,2,2,9
2024,3,Boocaracha Broache,BOOC,4,10,0,1367.5,1513.02,10,10,10
2024,4,White Ford Broncos,OJ,6,8,0,1377.46,1589.24,7,5,2
2024,5,King Henry's Court,RB1,7,7,0,1569.42,1505.34,5,6,6
